ID,latitude,longitude,reach_id,linkno
170,46.52428598,-120.4768896,23099840,720205765.0
171,40.97158892,-74.27905656,6249450,750128611.0
173,39.43594234,-120.0844717,8933494,710736311.0
174,41.63108197,-81.40137886,9858569,740098036.0
176,46.34896504,-114.1290075,24322938,720193881.0
177,39.41291206,-84.55603838,3885872,760703065.0
178,40.300614,-83.06329,5214471,760653078.0
179,39.7749464,-84.19395592,3986446,760696382.0
180,42.09466487,-123.7064357,23945145,720079258.0
181,40.634121,-77.569346,4696475,750145196.0
182,41.54065191,-71.69604126,6140030,750179508.0
183,35.83539246,-83.94655466,22130051,760645101.0
187,41.88812899,-88.30208659,14763155,760593054.0
188,41.80716064,-88.32430601,14762971,760637986.0
190,42.45984092,-89.07976627,13298654,760563056.0
191,35.74903838,-83.83664578,22131159,760575220.0
192,35.85628408,-86.41262591,18402689,760628458.0
194,43.32213649,-91.68654621,13336960,760572975.0
195,32.78208115,-97.22162381,1268374,770514997.0
197,39.86882928,-84.28135392,3986322,760706356.0
198,37.14160705,-83.37959737,487516,760666632.0
199,31.75738619,-88.12901974,18548514,750278635.0
200,41.398495,-72.469624,7702638,750103144.0
202,36.55288265,-94.4971472,7600739,760635061.0
204,40.14827339,-75.50671577,4782503,750129817.0
206,40.175833,-76.1925,4722187,750099032.0
207,29.85661919,-98.16078722,1619593,770561898.0
210,43.669744,-92.967751,7014411,760459795.0
211,41.62023702,-94.01348457,6610730,760667953.0
212,43.2637692,-93.42176646,6566159,760538036.0
214,42.726752,-94.229834,6588277,760533085.0
218,39.63058764,-77.70996921,5891430,750113255.0
219,38.50304937,-94.95597124,10113746,760744736.0
221,42.97076303,-85.67494869,9008387,740292835.0
222,37.79404784,-93.8014251,7371665,760613334.0
223,38.49143293,-84.35436845,2057508,760713121.0
224,36.78299174,-108.1024539,17016235,710772160.0
227,36.798224,-83.759541,10188928,760650018.0
228,32.23828,-97.7474,5512360,770551416.0
229,35.9410237,-86.46432281,18403561,760588516.0
232,35.81047935,-80.56269452,9235659,750161310.0
235,42.97443955,-85.67464828,9008387,740292835.0
236,46.91980596,-97.99822927,14827487,730042112.0
237,40.6590063,-75.24394512,4188251,750153484.0
238,39.35609739,-85.97655773,18461164,760633181.0
239,39.99023807,-76.93258882,4724345,750115614.0
241,38.55178546,-106.0301685,918741,760639900.0
242,42.26641545,-76.83511466,21983937,740091279.0
243,34.00581298,-86.06876135,22200559,750297519.0
245,30.51299411,-97.69039847,5671177,770394435.0
246,43.156868,-76.33343,21975009,740217561.0
248,35.138912,-85.516993,19663269,760566944.0
249,40.01740085,-83.01612854,5215277,760708012.0
250,41.08204258,-85.11639476,15668481,740083285.0
254,29.72254889,-99.06933591,10833744,770520302.0
257,40.81945879,-83.27888176,15614122,740053734.0
258,43.62678466,-89.78161042,14709864,760534680.0
259,37.21399354,-86.90058947,11628935,760641666.0
261,46.042659,-107.800745,7195021,
263,36.55300328,-94.49700102,7600739,760635061.0
264,37.72362601,-97.3190552,21164829,760506843.0
266,32.86855544,-107.3036814,2537295,770483793.0
267,42.70137177,-89.868885,13410428,760556382.0
269,43.066292,-92.680314,7016577,760551363.0
271,32.52131331,-87.87888665,18540822,750237767.0
272,37.53129954,-77.44268491,8574233,750117456.0
273,39.9413875,-83.00102616,5217165,760771248.0
274,37.81745833,-96.30132437,21515570,760548434.0
275,40.28066235,-103.7013459,3561614,760741272.0
276,39.21832804,-85.92726946,18458271,760708072.0
277,43.93405725,-111.6144861,24470214,720184215.0
319,42.5395014,-92.4477509,22472161,760549738.0
329,36.89655333,-94.36808255,7592439,760580122.0
339,43.05475669,-92.03372459,13310289,760494787.0
343,42.74578912,-84.55007804,12242484,740169203.0
347,43.16228862,-93.19311024,937080094,760521403.0
349,41.86019339,-95.99680293,14626252,760639645.0
351,42.60422222,-91.90907675,6947762,760454885.0
353,42.40836682,-93.0726869,6572002,760514802.0
355,42.10110653,-91.29187112,14794873,760631309.0
359,41.58096879,-92.78283133,6994087,760568116.0
367,41.901359,-91.507002,17556815,760647962.0
369,41.8357705,-103.6058505,17509144,760652961.0
371,39.78697829,-86.19504597,18476873,760663099.0
375,38.26746706,-104.6578301,951029,760758066.0
377,37.55609111,-77.51904818,8573707,
379,41.92370498,-83.42028397,13167286,740099362.0
381,35.19387083,-87.03939609,19596030,760540317.0
385,43.88242431,-111.7782012,24469028,720206044.0
389,36.26784826,-93.94096747,8587568,
391,42.23909426,-84.74938245,3470983,740106070.0
393,36.76669698,-93.17511671,7624896,760623396.0
399,32.80016046,-85.15286255,3298646,750278015.0
401,39.49437886,-77.82680076,5894768,750133387.0
405,41.4614847,-90.54824122,10609502,760596414.0
407,37.51246516,-85.26152016,10302491,760596716.0
409,40.41621649,-76.48951981,4708662,750099026.0
411,36.14578731,-83.21196994,19488774,760603477.0
413,36.63672351,-81.78988205,19751727,760535215.0
415,35.31610858,-94.55820653,1543659,
425,44.27709491,-123.2856405,23763079,720243701.0
437,35.275569,-84.567395,19676227,760536982.0
449,36.17838,-119.83325,17154762,710708702.0
457,30.70393,-89.8458,15708493,760134641.0
461,33.91161,-83.4024,1049857,750238913.0
463,41.56584,-73.4114,7714148,750208515.0
465,38.20598,-95.7306,20888831,760744755.0
469,29.94051,-97.9016,1631043,770571255.0
471,36.31983,-87.2225,11884824,760675015.0
473,34.12544,-94.6671,630385,760269166.0
475,35.30923,-81.1112,9747432,750161916.0
477,35.53932,-78.9903,8842773,750166646.0
479,41.39236,-97.8232,17309884,760606403.0
481,42.97443,-85.6747,9008387,740292835.0
483,38.1474,-84.1267,2057764,760575038.0
485,41.67602,-86.2464,12265062,740118194.0
489,43.98283,-111.627,23141651,720235790.0
493,35.47551,-86.2722,19533416,760563592.0
495,40.04334,-81.9775,15379475,760766248.0
497,43.62147,-75.3117,15515168,740265917.0
499,41.81771,-86.2591,12264996,740141033.0
501,39.66728,-86.8664,18464534,760646471.0
505,30.25508,-97.6261,5781965,770584764.0
507,40.12185,-76.7196,4710056,
509,35.39654,-81.2025,9747422,750145337.0
511,41.9409,-85.6248,12259926,740112798.0
513,37.67134,-96.9772,20081756,760669919.0
515,41.57182,-90.3979,14804465,
517,40.01746,-83.016,5215277,760708012.0
519,35.481667,-86.461389,19533702,760586889.0
529,40.63082,-105.168,2899741,760727932.0
531,36.18657,-94.7069,399514,760563536.0
533,40.55246,-83.219,5211913,760706307.0
535,42.46323,-85.6922,3473537,740190722.0
539,31.184436,-97.812581,2580571,770552492.0
541,36.59434,-79.3969,8696383,750132281.0
545,40.07457,-83.0349,5215509,760716327.0
